2023-03-06 18:01:25,824 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2023-03-06 18:01:25,841 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.glovecc.ulauncher-github-search" started. PID 5254
2023-03-06 18:01:25,846 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.manahter.ulauncher-translate" started. PID 5256
2023-03-06 18:01:25,851 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.eckhoff42.ulauncher-kill-process-on-click" started. PID 5258
2023-03-06 18:01:25,857 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.brpaz.ulauncher-devdocs" started. PID 5260
2023-03-06 18:01:25,867 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Alt>q
2023-03-06 18:01:25,963 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 84 apps in cache
2023-03-06 18:01:25,972 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/al3ncar/.local/share/applications/_home_al3ncar_Downloads_eclipse-inst-jre-linux64_eclipse-installer_.desktop": constructor returned NULL
2023-03-06 18:01:25,974 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/ubuntu/applications/texdoctk.desktop": constructor returned NULL
2023-03-06 18:01:26,011 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/vim.desktop": constructor returned NULL
2023-03-06 18:01:26,012 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/evolution-calendar.desktop": constructor returned NULL
2023-03-06 18:01:26,094 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 84 apps in the system
2023-03-06 18:01:26,094 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.27 seconds
2023-03-06 18:01:26,103 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2023-03-06 18:01:26,226 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.manahter.ulauncher-translate" connected
2023-03-06 18:01:26,226 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.manahter.ulauncher-translate"
2023-03-06 18:01:26,235 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.eckhoff42.ulauncher-kill-process-on-click" connected
2023-03-06 18:01:26,235 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.eckhoff42.ulauncher-kill-process-on-click"
2023-03-06 18:01:26,281 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.glovecc.ulauncher-github-search" connected
2023-03-06 18:01:26,281 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.glovecc.ulauncher-github-search"
2023-03-06 18:01:26,281 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.brpaz.ulauncher-devdocs" connected
2023-03-06 18:01:26,282 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.brpaz.ulauncher-devdocs"
2023-03-06 18:01:30,497 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:01:30,498 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:01:30,529 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:01:32,814 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:01:32,815 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:01:32,831 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:33:44,115 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:33:44,115 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:33:44,136 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:33:56,038 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:33:56,038 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:33:56,054 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:34:07,187 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Extensions (/usr/share/applications/org.gnome.Extensions.desktop) Exec ['gapplication', 'launch', 'org.gnome.Extensions']
2023-03-06 18:34:29,251 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:34:29,252 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:34:29,268 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:34:33,446 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:34:33,446 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:34:33,475 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:34:38,292 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:34:38,292 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:34:38,314 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:35:03,546 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:35:03,546 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:35:03,562 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:35:24,343 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:35:24,344 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:35:24,365 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:35:25,661 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:35:25,662 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:35:25,677 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:38:25,662 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:38:25,662 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:38:25,688 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-03-06 18:38:34,896 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-03-06 18:38:34,896 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2023-03-06 18:38:34,910 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
